title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description
Baby Sharks;2022;TV-PG;44 min;['Animals & Nature', 'Documentary'];July 10, 2022;;"Even the biggest and fiercest predators start out…as baby sharks.                                        
                      Even the biggest, fastest, and fiercest predators start out…as a baby. Baby sharks are cute, but they need to grow up fast. Because out of more than 500 species of sharks, not one parent sticks around to help raise them. Sharks are found in every ocean across the planet and have evolved extraordinarily different ways to carry their young and give birth – and for baby sharks⋯ to thrive.                    


Read More..."
Camo Sharks;2022;TV-PG;44 min;['Animals & Nature', 'Documentary'];July 10, 2022;;"Can great white sharks change the color of their skin and camouflage?                                        
                      Can sharks change color at will to enhance their predatory abilities? Through groundbreaking experiments, revered shark biologists answer this evolutionary question. Shark scientists Dr. Ryan Johnson and PhD Candidate Gibbs Kuguru hope to capture real-time pigmentation changes to understand how these apex ocean predators manipulate their skin’s dermal cells to activate camouflage.                    


Read More..."
Counting Jaws;2022;TV-PG;44 min;['Animals & Nature', 'Documentary'];July 10, 2022;;"Scientists conduct a population study on Great Whites in California.                                        
                      Shark encounters off the coast of California are skyrocketing. Now, a team of researchers are on a mission to investigate a newly discovered white shark hot spot close to popular beaches and determine how many Great Whites are out there. Their expedition will bring them face to face with some of the biggest sharks on the planet.                    


Read More..."
Jaws vs. Boats;2022;TV-PG;44 min;['Animals & Nature', 'Documentary'];July 10, 2022;;"Marine biologists investigate why sharks attack boats.                                        
                      All across YouTube viral videos abound of great whites and other sharks attacking boats with a ferocity and anger that has never been seen before. The question is why? Is this simply a case of more people having cameras to video behavior or is there something else happening? Dr. Mike Heithaus and PHD Candidate Sara Casareto set out to investigate what’s causing this clash between sharks and boats.                    


Read More..."
Maui Shark Mystery;2022;TV-PG;44 min;['Animals & Nature', 'Documentary'];July 10, 2022;;"A fearless team dives in to solve the secret gathering of Maui sharks.                                        
                      Every year tiger sharks gather in big numbers in Maui. What's the cause? It's a mystery that's a decade in the making. Now, a team of fearless shark scientists gets hands-on with one of the ocean's largest predators to find out. That means free diving, face-to-face, unprotected. But these young women will do whatever it takes to get the data they need to crack the case.                    


Read More..."
Shark Queens;2022;TV-PG;44 min;['Animals & Nature', 'Documentary'];July 10, 2022;;"Are female sharks the ultimate rulers of the oceans?                                        
                      In the animal kingdom, males are often presumed to be the most dominant, but in the ocean, does this presumption hold water? Scientists search for answers to understand if the biggest and baddest sharks of them all are female. From the Great White Sharks of South Africa to the Tiger Sharks in the Maldives, thee team seeks to uncover the ultimate rulers of the waves.                    


Read More..."
Shark Side of the Moon;2022;TV-PG;44 min;['Animals & Nature', 'Documentary'];July 10, 2022;;"An inspiring journey that reveals hammerhead's connection to lunar cycles.                                        
                      This documentary pulls back the curtain on the secret lives of Hammerhead Sharks, revealing new insights and never-before-seen behaviors in these incredible creatures and their lunar-driven migration journey across the Tropical Eastern Pacific. Using the latest satellite tracking technology, top Marine ecologists risk their lives for their scientific quest as they explore our space and oceans.                    


Read More..."
Sharks That Eat Everything;2022;TV-14;44 min;['Reality'];July 10, 2022;;"Sharks sometimes eat the strangest things.                                        
                      The ocean’s deadliest predators often eat more than just sardines and seals. Their boundless hunger and curiosity can lead sharks to chow down on the most unexpected things. Deep dive into the fascinating science of an underwater world where nothing is off the menu, whether it’s big game like hippos, crocs and humans, or inanimate objects like kayaks, cages and chicken coops.                    


Read More..."
Sky Sharks;2022;TV-PG;44 min;['Animals & Nature', 'Documentary'];July 10, 2022;;"Drones reveal sharks living closer to our shores than we like to imagine!                                        
                      If you go down to the beach today, you could get a big surprise! Drones are revolutionizing everything that we thought we knew about sharks. And the biggest surprise? That many sharks live closer to our shores than we might like to imagine. It’s time to look behind you. The ocean’s top predator could be much closer than you think!                    


Read More..."
When Sharks Attack;2013;TV-14;8 Seasons;;July 10, 2022;6.7/10;"National Geographic investigates shark attacks.                                        
                      From America’s coastline to exotic beaches around the world, the number of reported shark attacks has increased in the last half century. Many of the attacks are popping up in new and surprising locations. National Geographic investigates these attacks to see what is affecting some of nature’s most feared fish.                    


Read More..."
World's Biggest Hammerhead?;2022;TV-PG;44 min;['Animals & Nature', 'Documentary'];July 10, 2022;;"A team are on an expedition to find the world’s biggest great hammerhead.                                        
                      Numerous reports of giant great hammerheads up to twenty feet in length, have put the true size potential of this species into question. A team of scientists from Florida International University, are now on an expedition off the coast of Florida, to try and find the world’s biggest hammerhead. Taking them from the numerous bridges of the Florida Keys, to the sharky waters of the Bahamas.                    


Read More..."
