title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description
Miss S;2020;TV-14;1 Season;['Comedy', 'Crime', 'Drama'];July 7, 2022;;In 1930s Shanghai, socialite Su Wenli, a.k.a. “Miss S”, returns home from Paris and quickly turns her attention to solving murder cases in the city – much to the annoyance of righteous police inspector Luo Qiuheng. Despite their differences and budding attraction, the pair become crime-solving partners with help from Su Wenli’s loyal squad of employees-turned-family. Though Su Wenli establishes herself as a whip-smart detective with a generous heart – and killer wardrobe – she remains haunted by her sister’s disappearance a decade ago. Loyally adapted from the popular Miss Fisher’s Murder Mysteries, Miss S is a quirky detective series about a glamorous protagonist’s dogged pursuit of justice and truth.
Visitors;2022;TV-MA;1 Season;['Comedy', 'Fantasy & Sci-Fi'];July 7, 2022;;Welcome to the town of Pointe-Claire, home to an abandoned military base, a bumbling police force, and now – an all-out alien invasion. After an explosion lights up the night sky on the eve of his first day on the job, videogame store owner-turned-rookie cop Richard Garcia finds himself entangled in a war between rival extraterrestrial factions – all while juggling tensions with his estranged best friends Bob and Mitch, former flame Jacqueline, and his wife Nancy, a successful real estate agent who just can’t seem to get her husband’s attention. As mysterious forces close in on the Pointe-Claire PD, it’s up to Richard to convince the town – and the world – that aliens do exist… and not all of them come in peace.
Before Midnight;2022;TV-14;53 min;['Documentaries', 'Kids & Family'];July 2, 2022;;A behind-the-scenes documentary on the making of 'Round Midnight.
La Ciudad de las Fieras (The City of Wild Beasts);2022;TV-MA;97 min;['Drama', 'International', 'Latino'];July 2, 2022;;Trouble on the mean streets of Medellín, Colombia, leads a teen to the country and the grandfather he’s never known in this powerful film. Starring Bryan Córdoba, Óscar Atehortúa, Valeria Pérez, and Joel Mosquera. Written and directed by Henry E. Rincón.
Sidewalk Stories;1989;R;99 min;['Comedy', 'Drama'];July 2, 2022;7.3/10;A New York street artist befriends an orphaned girl and in turn becomes one of the city's homeless.
A Kind of Murder;2016;R;96 min;['Crime', 'Drama', 'Suspense'];July 1, 2022;5.1/10;"The lives of an aspiring crime writer and a man suspected of killing his wife become dangerously intertwined when the writer's spouse turns up dead under mysterious circumstances. Starring Patrick Wilson, Jessica Biel, Vincent Kartheiser, Haley Bennett, and Eddie Marsan. Directed by Andy Goddard; screenplay by Susan Boyd, based on the novel The Blunderer by Patricia Highsmith."
Act of Valor;2012;R;110 min;['Action', 'Suspense'];July 1, 2022;;"Real-life Navy SEALs star in this explosive thriller that follows an elite platoon as they track a terrorist threat all the way to the U.S. border. Co-starring Roselyn Sanchez, Jason Cottle, Alex Veadov, Nestor Serrano, and Emilio Rivera. Directed by Mouse McCoy and Scott Waugh; written by Kurt Johnstad."
Arbitrage;2012;R;107 min;['Drama', 'Suspense'];July 1, 2022;6.5/10;After a tragic accident leads to a web of lies and deception, a hedge fund manager on the brink of a massive corporate merger desperately tries to keep his business and family together while the house of cards he's built slowly collapses. Starring Richard Gere, Susan Sarandon, Tim Roth, and Brit Marling. Written and directed by Nicholas Jarecki.
Astro Boy;2009;PG;94 min;['Action', 'Fantasy & Sci-Fi', 'Kids & Family'];July 1, 2022;6.5/10;Blast off with Astro Boy, the thrilling tale of a true hero! In futuristic Metro City, scientist Tenma creates an amazing robot boy with hidden talents unlike anything you've ever seen. Astro Boy has super strength, x-ray vision, incredible speed and the ability to fly. But, what he really wants is to know where he belongs. When the world needs saving, he'll discover he was made for the challenge. Featuring an all-star cast of voice talent, it's high-flying adventure that soars to new heights!
Backstabbing for Beginners;2018;R;108 min;['Drama', 'International', 'Romance'];July 1, 2022;6.4/10;"An enthusiastic young United Nations worker in Iraq with his mentor uncovers wide-ranging corruption in the UN's Oil-for-Food program. Starring Theo James, Belçim Bilgin, Jacqueline Bisset, Rossif Sutherland, and Ben Kingsley. Directed by Per Fly; screenplay by Per Fly & Daniel Pyne, based on the book by Michael Soussan."
