title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description;streaming;genre_parental_guidelines_and_description
Alba;2021;Adults;1 Season;'International TV Shows', 'Romantic TV Shows', 'Spanish-Language TV Shows';July 15, 2022;7.5;Alba awakens on a beach, bearing evidence of a rape but with no memory of the night before. Then she learns her rapists are her boyfriend's buddies.;netflix;'International TV Shows', 'Romantic TV Shows', 'Spanish-Language TV Shows', Adults, Alba awakens on a beach, bearing evidence of a rape but with no memory of the night before. Then she learns her rapists are her boyfriend's buddies.
Backstreet Rookie;2020;Teens;1 Season;'International TV Shows', 'Romantic TV Shows', 'TV Comedies';July 15, 2022;7.3;An audacious part-timer who is great at her job and a well-meaning manager who is suspicious of the new hire, team up to keep a convenience store afloat.;netflix;'International TV Shows', 'Romantic TV Shows', 'TV Comedies', Teens, An audacious part-timer who is great at her job and a well-meaning manager who is suspicious of the new hire, team up to keep a convenience store afloat.
Forged in Fire;2021;Teens;"
                    New Season Added:";'Reality TV';July 15, 2022;8.3;Bladesmiths vie for a cash prize by forging the best metal weapons from the pages of history in this competition series featuring expert judges.;netflix;'Reality TV', Teens, Bladesmiths vie for a cash prize by forging the best metal weapons from the pages of history in this competition series featuring expert judges.
Image of Victory;2021;Teens;130 min;'Dramas', 'International Movies';July 15, 2022;7.4;In 1948, an Egyptian filmmaker documents a raid on Nitzanim, where a young Israeli mother must reckon with the true cost of war. Based on real events.;netflix;'Dramas', 'International Movies', Teens, In 1948, an Egyptian filmmaker documents a raid on Nitzanim, where a young Israeli mother must reckon with the true cost of war. Based on real events.
LEGO Ninjago;2022;Older Kids;"
                    New Season Added:";"""Kids' TV""";July 15, 2022;7.8;While fighting foes across Ninjago City and beyond, the ninjas embark on new quests and gain newfound allies as the power of their friendship is tested.;netflix;"""Kids' TV"", Older Kids, While fighting foes across Ninjago City and beyond, the ninjas embark on new quests and gain newfound allies as the power of their friendship is tested."
Persuasion;2022;Older Kids;110 min;'Comedies', 'Dramas', 'Romantic Movies';July 15, 2022;7.6;Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?;netflix;'Comedies', 'Dramas', 'Romantic Movies', Older Kids, Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?
Resident Evil;2022;Adults;1 Season;'TV Action & Adventure', 'TV Horror', 'TV Mysteries';July 14, 2022;9.1;Years after a viral outbreak caused a global apocalypse, Jade Wesker vows to bring down those responsible while fighting to survive against the Infected.;netflix;'TV Action & Adventure', 'TV Horror', 'TV Mysteries', Adults, Years after a viral outbreak caused a global apocalypse, Jade Wesker vows to bring down those responsible while fighting to survive against the Infected.
Dear Friend;2022;Adults;118 min;'Dramas', 'Independent Movies', 'International Movies';July 10, 2022;7.1;For a group of friends living together in Bengaluru, life is all about fun and laughter — until one of them inexplicably disappears from their lives.;netflix;'Dramas', 'Independent Movies', 'International Movies', Adults, For a group of friends living together in Bengaluru, life is all about fun and laughter — until one of them inexplicably disappears from their lives.
The Spectacular Spider-Man;2008;Older Kids;1 Season;"""Kids' TV""";July 9, 2022;8.2;This 21st-century edition of animated adventures charts the exploits of Peter Parker, who becomes Spider-Man as a result of a radioactive spider bite.;netflix;"""Kids' TV"", Older Kids, This 21st-century edition of animated adventures charts the exploits of Peter Parker, who becomes Spider-Man as a result of a radioactive spider bite."
Dangerous Liaisons;2022;Adults;109 min;'Dramas', 'International Movies', 'Romantic Movies';July 8, 2022;7.7;Book smart Célène falls for bad boy Tristan at her new Biarritz high school, unaware she's part of a cruel bet he's made with social media queen Vanessa.;netflix;'Dramas', 'International Movies', 'Romantic Movies', Adults, Book smart Célène falls for bad boy Tristan at her new Biarritz high school, unaware she's part of a cruel bet he's made with social media queen Vanessa.
