title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description
Control Z;2022;TV-MA;3 Seasons;['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas'];July 6, 2022;7.0/10;When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.
Girl in the Picture;2022;TV-MA;103 min;['Documentaries'];July 6, 2022;;In this documentary, a woman found dying by a road leaves behind a son, a man claiming to be her husband — and a mystery that unfolds like a nightmare.
Hello, Goodbye, and Everything in Between;2022;TV-14;84 min;['Dramas', 'Romantic Movies'];July 6, 2022;;Clare and Aidan make a pact to break up before college — no regrets, no broken hearts. But will one epic goodbye date offer them a last chance at love?
King of Stonks;2022;TV-MA;1 Season;['International TV Shows', 'TV Comedies', 'TV Dramas'];July 6, 2022;;Desperate for startup stardom, an overly-ambitious finance mastermind lies, cheats and schemes his less-than-authentic company up the ladder to success.
Lellobee City Farm;2022;TV-Y;1 Season;"[""Kids' TV""]";July 6, 2022;;All the fun's on this farm! Join a colorful crew of kids and animals ready to sing along to simple songs, share new life lessons and learn together!
Attack on Pearl Harbor: Minute by Minute;2022;TV-14;1 Season;['British TV Shows', 'Docuseries'];July 5, 2022;;Using archival footage and interviews with survivors, this docuseries chronicles the attack that changed the course of World War II.
The Secret of Skinwalker Ranch;2020;TV-PG;1 Season;['Docuseries', 'Science & Nature TV', 'TV Mysteries'];July 5, 2022;;For decades, a Utah ranch has been a hotspot of strange, unexplained phenomena. A new owner brings in investigators to unlock the property's mysteries.
Av: The Hunt;2020;TV-MA;86 min;['International Movies', 'Thrillers'];July 4, 2022;;Hunted by those seeking to punish her in the name of honor, Ayşe makes a treacherous attempt to flee as the odds stack up against her.
Leave No Trace;2018;PG;109 min;['Dramas', 'Independent Movies'];July 4, 2022;7.2/10;A father and daughter living in content isolation find their lives – and bond –  shaken when authorities move them back into society.
Blair Witch;2016;R;89 min;['Horror Movies', 'Thrillers'];July 3, 2022;4.9/10;In search of his missing sister, a young man, accompanied by his friends, ventures into a cursed forest inhabited by a horrific legend.
