title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description
The Tracker;2002;13+;94 min;['Arthouse', 'Drama'];May 28, 2021;7.2/10;"It's 1922; somewhere in Australia. When a Native Australian man is accused of murdering a white woman, three white men are given the mission of capturing him with the help of an experienced Native Australian. So they start their quest in the outback, not knowing that their inner wrestles against and for racism will be more dangerous that the actual hunting for the accused."
Thottu Vidum Thooram;2020;13+;112 min;['Drama'];May 28, 2021;;When a group of college students comes to a small village as part of their NSS camp, one of the girls, Priya, falls in love with a local worker, Suresh. Romance blossoms between the two but at the end of the camp, they are forced to separate as Priya heads back to the city. Can their love conquer distance?
Dream Girl;2021;13+;10 min;['Romance'];May 27, 2021;;Trisha is just done with her shoot for the day. She is in the green room and a lot is happening. This is where she is caught by her someone special. The conversation grows intense before it ends in realization for her.
Ek Mini Katha;2021;18+;134 min;['Comedy', 'Drama'];May 27, 2021;6.9/10;Santhosh, a youth who is struggling with 'Micro Penis Syndrome' marries Amrutha in an unavoidable situation but continues to postpone their first night nuptials. He comes across a Godwoman who has a herbal medicine to address his problem which leads to a misunderstanding between him & his wife. How he resolves this situation with the help of a psychiatrist forms the crux of the story.
El Gran McLintock;1963;13+;127 min;['Western'];May 27, 2021;;Wealthy rancher G.W. McLintock uses his power and influence in the territory to keep the peace between farmers, ranchers, land-grabbers, Indians and corrupt government officials.
For My Daughter's Honor;1996;13+;88 min;['Drama'];May 27, 2021;;Amy Dustin, a fourteen-year-old high school student, becomes an object of romantic affection to the school's biology teacher and football coach, Pete Nash. Although Pete has a family, they take a sudden interest in each other and begin a secret relationship. People then begin to suspect that Pete and Amy are having an affair.
Gopi;2019;13+;122 min;['Drama'];May 27, 2021;;An excellent portrayal of a struggle of a common man to do something in our discouraging system and society. Fantastic acting from the cast and well written dialogues
Inside Hitler's Killing Machine;2016;13+;1 Season;;May 27, 2021;;May 1945: With the end of World War II and the surrender of the Third Reich, the world discovered the full horror of Adolph Hitler's genocidal system. Hitler's Nazi death camps were meticulously designed to kill on a scale never before seen in the history of humanity. With the elimination of millions of Jewish and other non-Arian citizens, Hitler would become one of the great villains of history.
Lock Him Up, Tie Me Down;2014;13+;96 min;['Comedy', 'Drama'];May 27, 2021;;When Tiffany comes home to find her husband has been kidnapped, a bizarre ransom is demanded in exchange for his life: she must pose as the kidnapper's wife for 7 days.
Meet The Girl - Award Winning Short Comedy Movie 2021;2021;18+;23 min;['Comedy', 'Drama'];May 27, 2021;;Ethan, a clumsy charming man, struggles to find a soulmate in real life. Their long nights out in search of love lead them nowhere. But the internet exists and his friend Paul suggests they sign up for a Russian online dating. Ethan falls for the beautiful Tatyana. He will have to embark on a journey to Moscow to deal with disappearance of his beloved, where a series of surprises awaits him.
Monarch;2000;16+;87 min;['Drama'];May 27, 2021;;An injured King, Henry VIII, is forced to take refuge at a manor house. He must confront his mortality and the ghosts of his past. An intimate portrait of a monarch before this death. The debut feature for double BAFTA-nominated writer and director John Walsh makes ingenious use of a single location and a setting of one stormy night. Rated 4 stars by BBC Radio Times.
Nice Package;2016;16+;98 min;['Action', 'Comedy'];May 27, 2021;;A wannabe professional thief, his gay best friend, a sexy hostage, some thugs and a mystery package everyone wants.
Noah's Ark;2021;ALL;28 min;['Animation', 'Kids'];May 27, 2021;;Emmy, Grammy, Oscar and Tony (EGOT) winner James Earl Jones does all the voices in this brilliantly animated story of Noah's heroic mission to rescue all creatures great and small from the Great Flood. A brilliant adaptation of Peter Spier's acclaimed children's book. Score by Grammy winner Stewart Copeland of The Police.
Paai - The Mat;2021;13+;117 min;['Drama', 'Romance'];May 27, 2021;;"Medini who grew up in a rural village in India becomes a survivor of human trafficking after being catfished by her ""boyfriend"" in the UK. She gets drugged, sold and finally gets rescued but stranded in the UK, unable to return to her village out of shame. The biggest question is, Will she be able to make it in London?"
Pinkfong! Summer Vacation;2021;G;29 min;['Animation', 'Kids'];May 27, 2021;;Pinkfong's summer vacation has begun! Let's go to the beach, take the bus, go to the zoo and much more! Follow Pinkfong during the hot summer days and enjoy summer time!
Queen and I;2012;13+;1 Season;;May 27, 2021;;A nobleman travels through time from the Joseon Dynasty 300 years into the future to modern-day Seoul. In Seoul, he meets a not very successful actress who is performing as Queen In-Hyun in a new TV series. A romantic relationship soon follows between the two.
Savage Island;2004;R;84 min;['Horror', 'Suspense'];May 27, 2021;;Julia and Steven attempt a romantic, tropical weekend getaway to a secluded island only to find themselves killing to survive. The family that slays together, stays together.
Shadow Valley;2021;16+;33 min;['Action'];May 27, 2021;;Ward Elliot becomes the prime suspect in his wife Lacie's disappearance. Stopping at nothing to find her and clear his name, launching himself into a nightlong odyssey through the dark and dangerous criminal underworld.
Summer House;2008;13+;89 min;['Drama', 'Suspense'];May 27, 2021;;A centuries-old curse haunts a family summer house. Male heirs seem to be affected by strange symptoms, occasionally leading to tragedy. When a young woman's husband inherits the house, he isn't there more than a few days before a near-fatal accident befalls him. She realizes that both her husband and now unborn son are at great risk unless she can break the curse.
Swapnarajyam (The Dreamland);2019;13+;119 min;['Comedy', 'Drama', 'Romance'];May 27, 2021;;A youngster hailing from a middle-class family must face off against overwhelming odds to succeed in life
The beach is my office;2021;16+;44 min;['Action'];May 27, 2021;;The beach is my office is a cheerful, solar film, full of social contrasts and diverse conflicts, after all, whoever hits the beach knows that in this place anything can happen.
Travis Turner;2021;18+;71 min;['Comedy', 'Drama'];May 27, 2021;;A high school kid throws a party under strange circumstances.
Underbelly: Chopper;2018;18+;1 Season;;May 27, 2021;;"See the rise and fall of the Australian criminal underworld, as told from both sides of the law. Underbelly: Chopper explores the untold story of notorious Melbourne gangster Mark ""Chopper"" Read."
We All Think We're Special;2021;18+;91 min;['Drama', 'Suspense'];May 27, 2021;;In this haunting drama, a night of reckless drinking compels a car mechanic to forcibly detox his best friend, whatever the cost.
